"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"4104","Clock Rate",0.2,1.5,0.933048382593303
"4105","Clock Rate",0.2,3,0.962412832174415
"4106","Generation",0.2,0.2,0.646110866060912
"4107","Clock Rate",0.2,0.1,0.440310215558379
"4108","Clock Rate",0.2,0.2,0.541911986627602
"4109","Clock Rate",0.2,0.5,0.774856118273341
"4110","Clock Rate",0.2,1,0.855494119187747
"4111","Clock Rate",0.2,2,0.970293768496191
"4112","Clock Rate",0.2,0.05,0.326032214547776
"4113","Clock Rate",0.2,0.15,0.649532209336851
"4114","Clock Rate",0.2,0.25,0.60461805215115
"4115","Clock Rate",0.2,0.75,0.873625083648011
"4116","Clock Rate",0.2,1.5,0.933048382593303
"4117","Clock Rate",0.2,3,0.962412832174415
"4118","Generation",0.2,0.5,0.751501493135607
"4119","Clock Rate",0.2,0.1,0.440310215558379
"4120","Clock Rate",0.2,0.2,0.541911986627602
"4121","Clock Rate",0.2,0.5,0.774856118273341
"4122","Clock Rate",0.2,1,0.855494119187747
"4123","Clock Rate",0.2,2,0.970293768496191
"4124","Clock Rate",0.2,0.05,0.326032214547776
"4125","Clock Rate",0.2,0.15,0.649532209336851
"4126","Clock Rate",0.2,0.25,0.60461805215115
"4127","Clock Rate",0.2,0.75,0.873625083648011
"4128","Clock Rate",0.2,1.5,0.933048382593303
"4129","Clock Rate",0.2,3,0.962412832174415
"4130","Generation",0.2,1,0.760734448180955
"4131","Clock Rate",0.2,0.1,0.440310215558379
"4132","Clock Rate",0.2,0.2,0.541911986627602
"4133","Clock Rate",0.2,0.5,0.774856118273341
"4134","Clock Rate",0.2,1,0.855494119187747
"4135","Clock Rate",0.2,2,0.970293768496191
"4136","Clock Rate",0.2,0.05,0.326032214547776
"4137","Clock Rate",0.2,0.15,0.649532209336851
"4138","Clock Rate",0.2,0.25,0.60461805215115
"4139","Clock Rate",0.2,0.75,0.873625083648011
"4140","Clock Rate",0.2,1.5,0.933048382593303
"4141","Clock Rate",0.2,3,0.962412832174415
"4142","Generation",0.2,2,0.868786229288615
"4143","Clock Rate",0.2,0.1,0.440310215558379
"4144","Clock Rate",0.2,0.2,0.541911986627602
"4145","Clock Rate",0.2,0.5,0.774856118273341
"4146","Clock Rate",0.2,1,0.855494119187747
"4147","Clock Rate",0.2,2,0.970293768496191
"4148","Clock Rate",0.2,0.05,0.326032214547776
"4149","Clock Rate",0.2,0.15,0.649532209336851
"4150","Clock Rate",0.2,0.25,0.60461805215115
"4151","Clock Rate",0.2,0.75,0.873625083648011
"4152","Clock Rate",0.2,1.5,0.933048382593303
"4153","Clock Rate",0.2,3,0.962412832174415
"4154","Generation",0.2,0.05,0.410096395597668
"4155","Clock Rate",0.2,0.1,0.440310215558379
"4156","Clock Rate",0.2,0.2,0.541911986627602
"4157","Clock Rate",0.2,0.5,0.774856118273341
"4158","Clock Rate",0.2,1,0.855494119187747
"4159","Clock Rate",0.2,2,0.970293768496191
"4160","Clock Rate",0.2,0.05,0.326032214547776
"4161","Clock Rate",0.2,0.15,0.649532209336851
"4162","Clock Rate",0.2,0.25,0.60461805215115
"4163","Clock Rate",0.2,0.75,0.873625083648011
"4164","Clock Rate",0.2,1.5,0.933048382593303
"4165","Clock Rate",0.2,3,0.962412832174415
"4166","Generation",0.2,0.15,0.467512591160391
"4167","Clock Rate",0.2,0.1,0.440310215558379
"4168","Clock Rate",0.2,0.2,0.541911986627602
"4169","Clock Rate",0.2,0.5,0.774856118273341
"4170","Clock Rate",0.2,1,0.855494119187747
"4171","Clock Rate",0.2,2,0.970293768496191
"4172","Clock Rate",0.2,0.05,0.326032214547776
"4173","Clock Rate",0.2,0.15,0.649532209336851
"4174","Clock Rate",0.2,0.25,0.60461805215115
